sample;group;10-Hydroxydecanoic acid;PE(18:1/20:4)_200 ;PE(18:0/20:4)_205;PE(18:0/20:4)_326;PE(18:1/20:4)_313
A1_1162;A;23185;371757.4063;3305637;26241394;4282576
A1_1617;A;20512;1264037.375;10800500;87462152;11226199
A1_1820;A;29338;398243.5;3670814.75;26039694;3101830.5
A1_2139;A;20405;921153.75;4207221.5;32146520;6503384.5
A1_2527;A;21618;506957.1875;4547938.5;33919856;5171300.5
A1_2884;A;32627;874965.0625;4806791.5;39633984;8414112
A1_2901;A;22685;562093.5625;5234393.5;38437868;6367100
A1_2918;A;21036;666586.875;7793080;56062012;5799773.5
A1_2922;A;24461;887150.1875;7324796;54788068;8944753
A1_2923;A;19796;674488.5625;4320964.5;37757244;5719251
A1_2924;A;36336;728212.6875;3955076.5;28334374;5824271.5
A1_2928;A;29392;394884.9688;3730111.25;26119870;3743495.25
A1_2940;A;28930;262671.6563;2861820.25;19540738;2245450.5
A1_2951;A;24359;363589.6875;2812813.25;22886906;3409960.5
A1_2952;A;24960;476999.1563;3332563;27639590;4631428.5
A1_2958;A;24838;579457.125;4263595.5;32945548;4795787
A1_2959;A;23357;1046835.688;8262379;67292920;9042475
A1_2968;A;20768;736499.4375;6654277.5;60487048;7624555
A1_2975;A;24965;806344;5258115.5;40763988;7413308.5
A1_2990;A;25443;1048585;5525235;41081988;6498462.5
A2_1162;A;19702;266287.375;2777340;18492860;1761788.5
A2_1617;A;27523;932838.1875;7253643.5;63688136;6563679
A2_1820;A;24047;414429.875;4502923.5;32391280;3146536.75
A2_2139;A;19913;749896.3125;3988406.75;30818728;7963091
A2_2527;A;27171;541712.875;4722434;36322212;4926392.5
A2_2884;A;70730;1282291.625;6408848;52754344;11217869
A2_2901;A;32790;995694.1875;8251943.5;62252812;9894530
A2_2918;A;24936;558259.1875;5161727.5;41162956;4923315.5
A2_2922;A;22808;929191.25;8643060;77528424;9337727
A2_2923;A;26224;555483.5625;4081403.25;28944802;5289878.5
A2_2924;A;23775;711532.375;4233595.5;33519012;5799560
A2_2928;A;22877;549307.0625;3583495.75;26064632;4431392.5
A2_2940;A;19656;294217.9063;2707876.5;21523060;3163260.75
A2_2951;A;34689;228465.6719;1755764.5;12545622;1966310.25
A2_2952;A;21778;401520.3438;2884486.5;23892322;3512827
A2_2958;A;47422;625159.375;5759123;41695800;5368022.5
A2_2959;A;22567;880400.625;8597161;56551776;5809707
A2_2968;A;16938;922375.4375;6772828.5;60232144;8301458
A2_2975;A;24792;1002168.375;5981748;50638196;7869498.5
A2_2990;A;28036;728365.9375;4634441;37430324;5287579.5
S1_1368;S;21740;1009839.5;6178248;55504372;9176297
S1_2476;S;18749;1908811.5;11667112;106975832;17347948
S1_2913;S;25075;949518.5625;4894459.5;41749500;9808573
S1_2919;S;27177;782346.625;9127350;88919552;10346547
S1_2955;S;21684;696345.4375;4903338.5;42135592;6664373.5
S1_2961;S;20633;1349584.125;12439164;117547376;13355637
S1_2970;S;18722;694969.5625;4629847;36786700;5990170
S1_3001;S;12866;1499798.75;8241738;71432248;13172915
S2_1368;S;15747;1059399;6552803.5;55838892;9411030
S2_2476;S;13573;1582344;10127943;89823296;15327827
S2_2913;S;16890;1220542.875;6517648;53017232;9707685
S2_2919;S;14821;937061;11705634;97663000;9412867
S2_2955;S;14411;493481.125;4447018.5;33264670;4288384.5
S2_2961;S;12545;1139242.25;11204468;98461592;10923057
S2_2970;S;29177;769423.9375;5501952.5;46161088;9130225
S2_3001;S;14688;1350359.625;8700625;66178860;11043692
